code,name,shares,weight
3017,奇鋐,1001000,8.46
2059,川湖,205000,6.73
2330,台積電,1116000,6.37
2383,台光電,465000,5.96
3665,貿聯-KY,1161000,5.9
2345,智邦,1074000,5.34
3037,欣興,2482000,5.3
3008,大立光,293000,5.14
8996,高力,1630000,5.02
2455,全新,2753000,3.44
3231,緯創,7245000,3.4
6584,南俊國際,2231000,3.35
6223,旺矽,268000,3.27
1815,富喬,10877000,3.05
1303,南亞,5445000,2.91
8021,尖點,2682000,2.67
6669,緯穎,429675,2.61
8046,南電,968000,2.42
3443,創意,164000,2.26
3661,世芯-KY,215000,2.15
2308,台達電,382000,1.65
3189,景碩,844013,1.64
2454,聯發科,145000,1.52
4958,臻鼎-KY,1000000,1.1
2301,光寶科,659000,0.48
2357,華碩,196000,0.48
3081,聯亞,63000,0.47
6213,聯茂,373000,0.46
3653,健策,33000,0.46
5274,信驊,11000,0.46
6139,亞翔,250000,0.44
2376,技嘉,508000,0.43
3026,禾伸堂,261000,0.43
8150,南茂,1957000,0.42
6187,萬潤,134000,0.41
2404,漢唐,155000,0.39
6274,台燿,113000,0.37
2360,致茂,76000,0.37
5289,宜鼎,99952,0.32
5347,世界,629000,0.22
