code,name,shares,weight
3017,奇鋐,1001000,8.05
2330,台積電,1116000,6.83
2059,川湖,205000,6.36
3037,欣興,2482000,5.89
3665,貿聯-KY,1161000,5.89
2383,台光電,465000,5.51
8996,高力,1630000,5.35
2345,智邦,1074000,4.88
3008,大立光,293000,4.45
6223,旺矽,268000,3.72
3231,緯創,7245000,3.41
1303,南亞,5445000,3.24
1815,富喬,11420868,3.23
6584,南俊國際,2231000,3.1
8021,尖點,2682000,3.05
3443,創意,164000,2.69
8046,南電,968000,2.6
6669,緯穎,429675,2.32
2455,全新,1700000,2.29
3189,景碩,844013,1.72
2454,聯發科,145000,1.65
4958,臻鼎-KY,1000000,1.2
6515,穎崴,51000,0.79
5274,信驊,11000,0.51
3026,禾伸堂,261000,0.5
6213,聯茂,373000,0.47
2357,華碩,196000,0.47
2301,光寶科,659000,0.46
2376,技嘉,508000,0.46
3653,健策,33000,0.45
6139,亞翔,250000,0.44
8150,南茂,1957000,0.43
3081,聯亞,63000,0.43
6187,萬潤,134000,0.41
2404,漢唐,155000,0.4
2360,致茂,76000,0.4
3711,日月光投控,250000,0.39
6274,台燿,113000,0.38
5289,宜鼎,99952,0.32
5347,世界,629000,0.26
